ward,precinct,name,address,accessible
49,4,Sullivan High School,6631 N Bosworth Av,True
49,5,James Sneider Apartments,7450 N Rogers Av,True
49,6,Gale School,1619 W Jonquil,False
49,7,Centennial Forum/Student Union,1125 W Loyola Av,True
49,8,St Margaret Mary Center,7341 N Claremont Av,True
49,9,Leonas Restaurant,6935 N Sheridan Rd,True
49,10,Rogers Pk Library,6907 N Clark St,True
49,11,Touhy Park,7348 N Paulina St,True
49,12,St Ignatius Church,6559 N Glenwood Av,False
49,13,Paschen Park,1932 W Lunt Av,True
49,14,Lake Shore Healthcare &amp; Rehab,7200 N Sheridan Rd,True
49,15,Pottawatomie Park,7340 N Rogers Av,True
49,16,Alden Village North,7464 N Sheridan Rd,True
49,17,Caroline Hedger Apts,6400 N Sheridan Rd,True
49,18,Kilmer School,6700 N Greenview Av,True
49,19,Jordan Community School,7414 N Wolcott Av,True
49,20,Field School,7019 N Ashland Av,True
49,21,Kizin Creole Restaurant,2311 W Howard St,True
49,22,Holy Apostolic Catholic Assyr Ch,7201 N Ashland Av,True
49,23,United Church Of Rogers Park,1545 W Morse Av,True
49,24,UNO Rogers Park,7416 N Ridge Bv,True
49,25,The Seville Apartments,1263 W Pratt Av,False
49,26,Morningside Ct Apartments,1250 W Morse Av,True
49,27,Loyola Park,1230 W Greenleaf Av,True
49,28,Living Water Community Church,6808 N Ashland Av,True
49,29,Loyola Park,1230 W Greenleaf Av,True
49,30,Chalet Living And Rehab,7350 N Sheridan Rd,False
49,31,Gale School,1619 W Jonquil,False
49,32,Willy White Community Center,1610 W Howard St,True
49,33,Pottawatomie Park,7340 N Rogers Av,True
50,1,Sha Arei Tzedek Mishkan Yair,2832 W Touhy Av,True
50,2,Lubavitch Chabad Of Illinois,2833 W Howard St,True
50,3,Lubavitch Chabad Of Illinois,2833 W Howard St,True
50,4,Philip Rogers School,7345 N Washtenaw Av,True
50,5,Bernard Horwich Jewish Center,3003 W Touhy Av,False
50,6,Glencrest Nursing Ctr,2451 W Touhy Av,True
50,7,George Armstrong School,2110 W Greenleaf Av,True
50,8,St Margaret Mary Center,7341 N Claremont Av,True
50,9,Philip Rogers School,7345 N Washtenaw Av,True
50,10,Croatian Cultural Center,2845 W Devon Av,True
50,11,Ida Crown Jewish Academy,2828 W Pratt Av,True
50,12,Winston Tower #3 Condo,7061 N Kedzie Av,True
50,13,Warren Park,6601 N Western Av,True
50,14,Winston Tower #2 Condo,6833 N Kedzie Av,True
50,15,West Ridge Untd Methodist Church,2301 W Lunt Av,False
50,16,Winston Tower #5 Condo,7141 N Kedzie Av,False
50,17,Clinton School,6131 N California Av,True
50,18,Pk Plaza Retirement Ctr,6840 N Sacramento Av,True
50,19,Northtown Branch Library,6435 N California Av,True
50,20,Boone School,6710 N Washtenaw Av,True
50,21,Boone School,6710 N Washtenaw Av,True
50,22,Croatian Cultural Center,2845 W Devon Av,True
50,23,International Social Club,3109 W Devon Av,False
50,24,Cong Kehilath Jacob Beth Samuel,3701 W Devon Av,True
50,25,Pirchei Center,3540 W Peterson Av,True
50,26,West Ridge Senior Apts,6142 N California Av,True
50,27,Winston Tower #1,6933 N Kedzie Av,False
50,28,Daniel Hudson Burnham Apts,1930 W Loyola Av,True
50,29,Clinton School,6131 N California Av,True
50,30,Warren Park,6601 N Western Av,True
50,31,Warren Park,6601 N Western Av,True
50,32,Stone Scholastic Academy,6239 N Leavitt St,True
50,33,Congregation Ezras Israel,7001 N California Av,True
50,34,Congregation Ezras Israel,7001 N California Av,True
50,35,George Armstrong School,2110 W Greenleaf Av,True
50,36,Boone School,6710 N Washtenaw Av,True
50,37,West Ridge Untd Methodist Church,2301 W Lunt Av,False
50,38,Winston Tower #4 Condo,7033 N Kedzie Av,True
50,39,International Social Club,3109 W Devon Av,False
50,40,Congregation Beth Itzchok,6716 N Whipple St,True
