name,address,accessible,wards_precincts
Nativity Of Our Lord,"653 W 37 St, Chicago, IL",True,ward 11 precinct 24
Crerar Presbyterian Church,"8100 S Calumet Av, Chicago, IL",False,ward 6 precinct 1
C E Hughes School,"4247 W 15 St, Chicago, IL",True,ward 24 precinct 11
Luther Terrace,"4747 S King Dr, Chicago, IL",True,ward 3 precinct 30
Corliss Early College Stem,"821 E 103 St, Chicago, IL",True,"ward 9 precinct 1, ward 9 precinct 8"
Guides Sport Bar,"5544 S Archer Av, Chicago, IL",True,ward 14 precinct 22
Parkview Villa Banquets,"6155 W Fullerton Av, Chicago, IL",True,ward 36 precinct 2
Oscar De Priest School,"139 S Parkside Av, Chicago, IL",True,"ward 29 precinct 8, ward 29 precinct 16"
Foundation College Prep,"1233 W 109 Pl, Chicago, IL",True,ward 34 precinct 47
Margaret Day Blake Apartments,"2140 N Clark St, Chicago, IL",True,"ward 43 precinct 8, ward 43 precinct 24"
